N6472,"Elementary and Secondary School Teacher Assistants","6472 - Elementary and Secondary School Teacher Assistants"
N6474,"Babysitters, Nannies and Parents' Helpers","6474 - Babysitters, Nannies and Parents' Helpers"
N6481,"Image, Social and Other Personal Consultants & Other Personal Service Occupations","6481 - Image, Social and Other Personal Consultants; 6484 - Other Personal Service Occupations"
N6482,"Estheticians, Electrologists and Related Occupations","6482 - Estheticians, Electrologists and Related Occupations"
N6483,"Pet Groomers and Animal Care Workers","6483 - Pet Groomers and Animal Care Workers"
N6611,"Cashiers","6611 - Cashiers"
N6621,"Service Station Attendants & Other Elemental Sales Occupations","6621 - Service Station Attendants; 6623 - Other Elemental Sales Occupations"
N6622,"Grocery Clerks and Shelf Stockers","6622 - Grocery Clerks and Shelf Stockers"
N6641,"Food Service Counter Attendants and Food Preparers","6641 - Food Service Counter Attendants and Food Preparers"
N6651,"Security Guards and Related Occupations","6651 - Security Guards and Related Occupations"
N6661,"Light Duty & Specialized Cleaners","6661 - Light Duty Cleaners; 6662 - Specialized Cleaners"
N6663,"Janitors, Caretakers and Building Superintendents","6663 - Janitors, Caretakers and Building Superintendents"
N6670,"Other Attendants In Travel, Accommodation And Recreation","6671 - Attendants in Amusement, Recreation and Sport; 6672 - Other Attendants in Accommodation and Travel (except Airline Travel)"
N6680,"Other Elemental Service Occupations","6681 - Dry Cleaning and Laundry Occupations; 6682 - Ironing, Pressing and Finishing Occupations; 6683 - Other Elemental Service Occupations"
N7211,"Supervisors, Machinists & Printing","7211 - Supervisors, Machinists and Related Occupations; 7218 - Supervisors, Printing and Related Occupations"
N7212,"Contractors and Supervisors, Electrical Trades and Telecommunications Occupations","7212 - Contractors and Supervisors, Electrical Trades and Telecommunications Occupations"
N7213,"Contractors and Supervisors, Pipefitting Trades & Metal Forming, Shaping and Erecting Trades","7213 - Contractors and Supervisors, Pipefitting Trades; 7214 - Contractors and Supervisors, Metal Forming, Shaping and Erecting Trades"
N7215,"Contractors and Supervisors, Carpentry Trades","7215 - Contractors and Supervisors, Carpentry Trades"
