N6460,40.3,2.8,6.2,1.9,10.9,9.7,1,-1,9.3,SHORTAGE,PÉNURIE,SHORTAGE,PÉNURIE
N6471,74.8,6.1,18.3,3,27.8,12.1,6.9,5,24,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N6472,97.3,7.8,23.8,4.1,36.1,14.9,3,6,23.9,BALANCE,À L'ÉQUILIBRE,SHORTAGE,PÉNURIE
N6474,56.4,4.6,13.7,2.8,20.9,22.7,13.2,-9,26.6,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N6481,14.4,1.3,1.9,0.4,3.3,3,0,0,3,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N6482,48,5.7,5.5,2,13,16.1,4,-1,19.7,BALANCE,À L'ÉQUILIBRE,SURPLUS,SURPLUS
N6483,25.2,3.1,2.8,1,7,9.1,0,0,9.3,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N6611,355.8,36.8,31.7,11.1,79.4,173.7,21.8,-140,55.9,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N6621,53.1,-2.2,6.4,2,6.1,20.5,6,-17,9.2,SURPLUS,SURPLUS,SURPLUS,SURPLUS
N6622,179.8,14.6,23.4,6.9,44.9,76.1,8,-58.7,25.5,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N6641,335.3,27.3,24.5,10.1,61.9,168.7,27.2,-137,58.8,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N6651,105.9,9,20.2,5.8,34.9,29.3,11.1,-7,33.7,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N6661,254.1,24.6,61.7,12.8,99.1,50.6,25.4,1,76.7,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N6663,215.5,6.2,50.7,10.6,67.2,32.4,15.3,0,48.2,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N6670,37.2,4.7,5,1.2,11.5,18.2,1,-10,9.1,SURPLUS,SURPLUS,SURPLUS,SURPLUS
N6680,49.7,1.5,13.7,3,18,10.4,5.3,-1,15.1,SURPLUS,SURPLUS,SURPLUS,SURPLUS
N7211,12.8,0,3,1,3.5,1,1,3,4.7,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N7212,28.6,3.4,7.3,1,12.1,2.5,0,6,8.1,BALANCE,À L'ÉQUILIBRE,SHORTAGE,PÉNURIE
